id;name;text;vocavulary_id
234;Pasado Simple;Hid;63
235;Pasado Simple;Hit;64
236;Pasado Simple;Held;65
237;Pasado Simple;Hurt;66
238;Pasado Simple;Input/ Inputted;67
239;Pasado Simple;Kept;68
240;Pasado Simple;Knelt;69
241;Pasado Simple;Knitted / Knit;70
242;Pasado Simple;Knew;71
243;Pasado Simple;Laid;72
244;Pasado Simple;Led;73
245;Pasado Simple;Leaned/ Leant;74
246;Pasado Simple;Leaped/ Leapt;75
247;Pasado Simple;Learnt/ Learned;76
248;Pasado Simple;Left;77
249;Pasado Simple;Lent;78
250;Pasado Simple;Let;79
251;Pasado Simple;Lay;80
252;Pasado Simple;Lied;81
253;Pasado Simple;Lit/ Lighted;82
254;Pasado Simple;Lost;83
255;Pasado Simple;Made;84
256;Pasado Simple;Meant;85
257;Pasado Simple;Met;86
258;Pasado Simple;Mistook;87
259;Pasado Simple;Overcame;88
260;Pasado Simple;Paid;89
261;Pasado Simple;Pleaded/ Pled;90
262;Pasado Simple;Preset;91
263;Pasado Simple;Proved;92
264;Pasado Simple;Put;93
265;Pasado Simple;Quit/ Quitted;94
266;Pasado Simple;Read;95
267;Pasado Simple;Reset;96
268;Pasado Simple;Rewound;97
269;Pasado Simple;Rode;98
270;Pasado Simple;Rang;99
271;Pasado Simple;Rose;100
272;Pasado Simple;Ran;101
273;Pasado Simple;Said;102
274;Pasado Simple;Saw;103
275;Pasado Simple;Sold;104
276;Pasado Simple;Sent;105
277;Pasado Simple;Set;106
278;Pasado Simple;Sewed;107
279;Pasado Simple;Shook;108
280;Pasado Simple;Shaved;109
281;Pasado Simple;Sheared;110
282;Pasado Simple;Shone;111
283;Pasado Simple;Shot;112
284;Pasado Simple;Showed;113
285;Pasado Simple;Shrank/ Shrunk;114
286;Pasado Simple;Shut;115
287;Pasado Simple;Sang;116
288;Pasado Simple;Sank;117
289;Pasado Simple;Sat;118
290;Pasado Simple;Slept;119
291;Pasado Simple;Slid;120
292;Pasado Simple;Smelled/ Smelt;121
293;Pasado Simple;Sowed;122
294;Pasado Simple;Spoke;123
295;Pasado Simple;Sped/ Speeded;124
296;Pasado Simple;Spelt/ Spelled;125
297;Pasado Simple;Spent;126
298;Pasado Simple;Spilt/ Spilled;127
299;Pasado Simple;Spun;128
300;Pasado Simple;Spit/ Spat;129
301;Pasado Simple;Split;130
302;Pasado Simple;Spoilt/ Spoiled;131
303;Pasado Simple;Spread;132
304;Pasado Simple;Stood;133
305;Pasado Simple;Stole;134
306;Pasado Simple;Stuck;135
307;Pasado Simple;Stank/ Stunk;136
308;Pasado Simple;Strewed;137
309;Pasado Simple;Struck;138
310;Pasado Simple;Swore;139
311;Pasado Simple;Sweat/ Sweated;140
312;Pasado Simple;Swept;141
313;Pasado Simple;Swam;142
314;Pasado Simple;Took;143
315;Pasado Simple;Taught;144
316;Pasado Simple;Tore;145
317;Pasado Simple;Telecast;146
318;Pasado Simple;Told;147
319;Pasado Simple;Thought;148
320;Pasado Simple;Threw;149
321;Pasado Simple;Trod;150
322;Pasado Simple;Understood;151
323;Pasado Simple;Undid;152
324;Pasado Simple;Unfroze;153
325;Pasado Simple;Woke;154
326;Pasado Simple;Wore;155
327;Pasado Simple;Wove;156
328;Pasado Simple;Wed/ Wedded;157
329;Pasado Simple;Wept;158
330;Pasado Simple;Won;159
331;Pasado Simple;Wrung;160
332;Pasado Simple;Wrote;161
333;PARTICIPIO  PASADO ;Become;6
334;PARTICIPIO  PASADO ;Begun;7
335;PARTICIPIO  PASADO ;Bent;8
336;PARTICIPIO  PASADO ;Bet/Betted;9
337;PARTICIPIO  PASADO ;Bidden;10
338;PARTICIPIO  PASADO ;Bid;11
339;PARTICIPIO  PASADO ;Bound;12
340;PARTICIPIO  PASADO ;Bitten;13
341;PARTICIPIO  PASADO ;Bled;14
342;PARTICIPIO  PASADO ;Blown;15
343;PARTICIPIO  PASADO ;Broken;16
344;PARTICIPIO  PASADO ;Bred;17
345;PARTICIPIO  PASADO ;Brought;18
346;PARTICIPIO  PASADO ;Broadcast / Broadcasted;19
347;PARTICIPIO  PASADO ;Browbeaten / Browbeat;20
348;PARTICIPIO  PASADO ;Built;21
349;PARTICIPIO  PASADO ;Burned / Burnt;22
350;PARTICIPIO  PASADO ;Burst;23
351;PARTICIPIO  PASADO ;Bought;24
352;PARTICIPIO  PASADO ;Cast;25
353;PARTICIPIO  PASADO ;Caught;26
354;PARTICIPIO  PASADO ;Chosen;27
355;PARTICIPIO  PASADO ;Clung;28
356;PARTICIPIO  PASADO ;Come;29
357;PARTICIPIO  PASADO ;Cost;30
358;PARTICIPIO  PASADO ;Crept;31
359;PARTICIPIO  PASADO ;Cut;32
360;PARTICIPIO  PASADO ;Dealt;33
361;PARTICIPIO  PASADO ;Dug;34
362;PARTICIPIO  PASADO ;Disproved / Disproven;35
363;PARTICIPIO  PASADO ;Done;36
364;PARTICIPIO  PASADO ;Drawn;37
365;PARTICIPIO  PASADO ;Dreamt/ Dreamed;38
366;PARTICIPIO  PASADO ;Drunk;39
367;PARTICIPIO  PASADO ;Driven;40
368;PARTICIPIO  PASADO ;Eaten;41
369;PARTICIPIO  PASADO ;Fallen;42
370;PARTICIPIO  PASADO ;Fed;43
371;PARTICIPIO  PASADO ;Felt;44
372;PARTICIPIO  PASADO ;Fought;45
373;PARTICIPIO  PASADO ;Found;46
374;PARTICIPIO  PASADO ;Fled;47
375;PARTICIPIO  PASADO ;Flown;48
376;PARTICIPIO  PASADO ;Forbidden;49
377;PARTICIPIO  PASADO ;Forecast;50
378;PARTICIPIO  PASADO ;Forgotten;51
379;PARTICIPIO  PASADO ;Forgiven;52
380;PARTICIPIO  PASADO ;Forsaken;53
381;PARTICIPIO  PASADO ;Frozen;54
382;PARTICIPIO  PASADO ;Got/ Gotten;55
383;PARTICIPIO  PASADO ;Given;56
384;PARTICIPIO  PASADO ;Gone;57
385;PARTICIPIO  PASADO ;Ground;58
386;PARTICIPIO  PASADO ;Grown;59
387;PARTICIPIO  PASADO ;Hung;60
388;PARTICIPIO  PASADO ;Had;61
389;PARTICIPIO  PASADO ;Heard;62
390;PARTICIPIO  PASADO ;Hidden;63
391;PARTICIPIO  PASADO ;Hit;64
392;PARTICIPIO  PASADO ;Held;65
393;PARTICIPIO  PASADO ;Hurt;66
394;PARTICIPIO  PASADO ;Input/ Inputted;67
395;PARTICIPIO  PASADO ;Kept;68
396;PARTICIPIO  PASADO ;Knelt;69
397;PARTICIPIO  PASADO ;Knitted/ Knit;70
398;PARTICIPIO  PASADO ;Known;71
399;PARTICIPIO  PASADO ;Laid;72
400;PARTICIPIO  PASADO ;Led;73
401;PARTICIPIO  PASADO ;Leaned/ Leant;74
402;PARTICIPIO  PASADO ;Leaped/ Leapt;75
403;PARTICIPIO  PASADO ;Learnt/ Learned;76
404;PARTICIPIO  PASADO ;Left;77
405;PARTICIPIO  PASADO ;Lent;78
406;PARTICIPIO  PASADO ;Let;79
407;PARTICIPIO  PASADO ;Lain;80
408;PARTICIPIO  PASADO ;Lied;81
409;PARTICIPIO  PASADO ;Lit/ Lighted;82
410;PARTICIPIO  PASADO ;Lost;83
411;PARTICIPIO  PASADO ;Made;84
